stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone
7-15001,15001,J.F. Kennedy,Rennes,48.12129900,-1.71126100,,,1,,1,
7-15002,15002,Villejean-Université,Rennes,48.12124100,-1.70392900,,,1,,1,
7-15003,15003,Pontchaillou,Rennes,48.12155700,-1.69340000,,,1,,1,
7-15004,15004,Anatole France,Rennes,48.11813700,-1.68760000,,,1,,1,
7-15005,15005,Sainte-Anne,Rennes,48.11452500,-1.68050900,,,1,,1,
7-15006,15006,République,Rennes,48.10975900,-1.67918200,,,1,,1,
7-15007,15007,Charles de Gaulle,Rennes,48.10546000,-1.67682900,,,1,,1,
7-15008,15008,Gares,Rennes,48.10384700,-1.67224500,,,1,,1,
7-15009,15009,Jacques Cartier,Rennes,48.09754300,-1.67545200,,,1,,1,
7-15010,15010,Clemenceau,Rennes,48.09348000,-1.67441800,,,1,,1,
7-15011,15011,Henri Fréville,Rennes,48.08767900,-1.67481600,,,1,,1,
7-15012,15012,Italie,Rennes,48.08656400,-1.66790000,,,1,,1,
7-15013,15013,Triangle,Rennes,48.08643700,-1.66036000,,,1,,1,
7-15014,15014,Le Blosne,Rennes,48.08773200,-1.65427800,,,1,,1,
7-15015,15015,La Poterie,Rennes,48.08749000,-1.64457300,,,1,,1,
7-15050,15050,Cesson - Viasilva,Cesson-Sévigné,48.13149300,-1.62006100,,,1,,1,
7-15051,15051,Atalante,Cesson-Sévigné,48.12714600,-1.62802300,,,1,,1,
7-15052,15052,Beaulieu - Université,Rennes,48.12212900,-1.63911600,,,1,,1,
7-15053,15053,Joliot-Curie - Chateaubriand,Rennes,48.12411300,-1.65150200,,,1,,1,
7-15054,15054,Les Gayeulles,Rennes,48.12939500,-1.65730000,,,1,,1,
7-15055,15055,Gros-Chêne,Rennes,48.12509300,-1.66446800,,,1,,1,
7-15056,15056,Jules Ferry,Rennes,48.11865900,-1.67076600,,,1,,1,
7-15058,15058,Saint-Germain,Rennes,48.11061600,-1.67627300,,,1,,1,
7-15060,15060,Colombier,Rennes,48.10589000,-1.68215400,,,1,,1,
